date,home_team,away_team,tournament,neutral,home_score,away_score,outcome,home_win,h_win_rate,h_draw_rate,h_goals_scored_avg,h_goals_conceded_avg,h_clean_sheets_rate,h_goal_diff_avg,h_games_played,h_fifa_rank,h_elo,a_win_rate,a_draw_rate,a_goals_scored_avg,a_goals_conceded_avg,a_clean_sheets_rate,a_goal_diff_avg,a_games_played,a_fifa_rank,a_elo,rank_diff,elo_diff,h2h_win_rate,h2h_games
2018-02-28,Iraque,Arábia Saudita,Friendly,0,4.0,1.0,home_win,1,0.5,0.5,1.4,0.7,0.3,0.7,10,62,1518,0.4,0.1,1.2,1.4,0.3,-0.2,10,56,1530,6,-12,0.0,2
2018-03-21,Iraque,Catar,Friendly,0,2.0,3.0,away_win,0,0.6,0.4,1.7,0.7,0.3,1.0,10,62,1518,0.2,0.2,1.4,1.5,0.1,-0.1,10,58,1520,4,-2,0.5,2
2018-03-23,Uruguai,República Tcheca,Friendly,1,2.0,0.0,home_win,1,0.2,0.3,1.0,1.7,0.3,-0.7,10,20,1740,0.6,0.1,2.2,0.9,0.4,1.3,10,40,1620,-20,120,0.5,0
2018-03-23,Ucrânia,Arábia Saudita,Friendly,1,1.0,1.0,draw,0,0.6,0.0,1.1,0.8,0.4,0.3,10,24,1710,0.4,0.1,1.2,1.6,0.3,-0.4,10,56,1530,-32,180,0.5,0
2018-03-23,Senegal,Uzbequistão,Friendly,1,1.0,1.0,draw,0,0.5,0.5,1.5,0.5,0.6,1.0,10,19,1745,0.3,0.2,0.7,0.9,0.4,-0.2,10,68,1495,-49,250,0.5,0
2018-03-23,Portugal,Egito,Friendly,1,2.0,1.0,home_win,1,0.8,0.2,2.1,0.3,0.7,1.8,10,5,1900,0.5,0.2,1.1,0.7,0.4,0.4,10,38,1630,-33,270,0.5,0
2018-03-23,Tunísia,Irã,Friendly,0,1.0,0.0,home_win,1,0.5,0.2,1.5,1.1,0.2,0.4,10,32,1655,0.7,0.3,1.7,0.5,0.6,1.2,10,21,1725,11,-70,0.5,0
2018-03-23,Holanda,Inglaterra,Friendly,0,0.0,1.0,away_win,0,0.8,0.0,2.5,0.9,0.5,1.6,10,7,1870,0.5,0.3,1.4,0.7,0.6,0.7,10,4,1920,3,-50,1.0,1
2018-03-23,Itália,Argentina,Friendly,1,0.0,2.0,away_win,0,0.6,0.2,2.1,0.6,0.6,1.5,10,9,1820,0.5,0.3,1.5,0.8,0.6,0.7,10,3,1955,6,-135,0.5,0
2018-03-23,Alemanha,Espanha,Friendly,0,1.0,1.0,draw,0,0.7,0.3,2.7,0.8,0.3,1.9,10,12,1810,0.8,0.2,3.3,0.7,0.6,2.6,10,2,1940,10,-130,0.5,0
